source,mal_id,title,title_english,score,scored_by,rank,popularity,members,favorites,synopsis,type,episodes,status,aired_from,aired_to,year,season,studios,genres,themes,demographics,rating,duration,source_material,producers,licensors,collected_at,episode_count_log,members_log,popularity_score,has_score,genre_count,studio_count,is_recent,synopsis_length,has_action,has_adventure,has_comedy,has_drama,has_fantasy,has_romance,has_sci_fi,has_slice_of_life,has_supernatural,has_thriller,has_mystery,has_sports,studio_tier
MyAnimeList_Top,52991,Sousou no Frieren,Frieren: Beyond Journey's End,9.29,758880,1.0,123,1261654,79074,"During their decade-long quest to defeat the Demon King, the members of the hero's party—Himmel himself, the priest Heiter, the dwarf warrior Eisen, and the elven mage Frieren—forge bonds through adventures and battles, creating unforgettable precious memories for most of them.

However, the time that Frieren spends with her comrades is equivalent to merely a fraction of her life, which has lasted over a thousand years. When the party disbands after their victory, Frieren casually returns to her ""usual"" routine of collecting spells across the continent. Due to her different sense of time, she seemingly holds no strong feelings toward the experiences she went through.

As the years pass, Frieren gradually realizes how her days in the hero's party truly impacted her. Witnessing the deaths of two of her former companions, Frieren begins to regret having taken their presence for granted; she vows to better understand humans and create real personal connections. Although the story of that once memorable journey has long ended, a new tale is about to begin.

[Written by MAL Rewrite]",TV,28.0,Finished Airing,2023-09-29T00:00:00+00:00,2024-03-22T00:00:00+00:00,2023.0,fall,['Madhouse'],"['Adventure', 'Drama', 'Fantasy']",[],['Shounen'],PG-13 - Teens 13 or older,24 min per ep,Manga,"['Aniplex', 'Dentsu', 'Shogakukan-Shueisha Productions', 'Nippon Television Network', 'TOHO animation', 'Shogakukan']",['Crunchyroll'],2025-11-25T21:10:19.212453,3.367295829986474,14.047934909115082,0.8904719501335708,1,3,1,1,1093,0,1,0,1,1,0,0,0,0,0,0,0,Premium
MyAnimeList_Top,57555,Chainsaw Man Movie: Reze-hen,Chainsaw Man the Movie: Reze Arc,9.19,124675,2.0,999,273188,7338,Sequel to Chainsaw Man.,Movie,1.0,Finished Airing,2025-09-19T00:00:00+00:00,,,,['MAPPA'],"['Action', 'Fantasy']","['Gore', 'Urban Fantasy']",['Shounen'],R - 17+ (violence & profanity),1 hr 41 min,Manga,[],[],2025-11-25T21:10:19.212453,0.6931471805599453,12.517919142324981,0.5002501250625312,1,2,1,0,23,1,0,0,0,1,0,0,0,0,0,0,0,Good
MyAnimeList_Top,5114,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist: Brotherhood,9.1,2262143,3.0,3,3598610,238125,"After a horrific alchemy experiment goes wrong in the Elric household, brothers Edward and Alphonse are left in a catastrophic new reality. Ignoring the alchemical principle banning human transmutation, the boys attempted to bring their recently deceased mother back to life. Instead, they suffered brutal personal loss: Alphonse's body disintegrated while Edward lost a leg and then sacrificed an arm to keep Alphonse's soul in the physical realm by binding it to a hulking suit of armor.

The brothers are rescued by their neighbor Pinako Rockbell and her granddaughter Winry. Known as a bio-mechanical engineering prodigy, Winry creates prosthetic limbs for Edward by utilizing ""automail,"" a tough, versatile metal used in robots and combat armor. After years of training, the Elric brothers set off on a quest to restore their bodies by locating the Philosopher's Stone—a powerful gem that allows an alchemist to defy the traditional laws of Equivalent Exchange.

As Edward becomes an infamous alchemist and gains the nickname ""Fullmetal,"" the boys' journey embroils them in a growing conspiracy that threatens the fate of the world.

[Written by MAL Rewrite]",TV,64.0,Finished Airing,2009-04-05T00:00:00+00:00,2010-07-04T00:00:00+00:00,2009.0,spring,['Bones'],"['Action', 'Adventure', 'Drama', 'Fantasy']",['Military'],['Shounen'],R - 17+ (violence & profanity),24 min per ep,Manga,"['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Techno Sound']","['Funimation', 'Aniplex of America']",2025-11-25T21:10:19.212453,4.174387269895637,15.096058495640174,0.9970089730807579,1,4,1,0,1163,1,1,0,1,1,0,0,0,0,0,0,0,Good
MyAnimeList_Top,9253,Steins;Gate,Steins;Gate,9.07,1490829,4.0,14,2752474,199113,"Eccentric scientist Rintarou Okabe has a never-ending thirst for scientific exploration. Together with his ditzy but well-meaning friend Mayuri Shiina and his roommate Itaru Hashida, Okabe founds the Future Gadget Laboratory in the hopes of creating technological innovations that baffle the human psyche. Despite claims of grandeur, the only notable ""gadget"" the trio have created is a microwave that has the mystifying power to turn bananas into green goo.

However, when Okabe attends a conference on time travel, he experiences a series of strange events that lead him to believe that there is more to the ""Phone Microwave"" gadget than meets the eye. Apparently able to send text messages into the past using the microwave, Okabe dabbles further with the ""time machine,"" attracting the ire and attention of the mysterious organization SERN.

Due to the novel discovery, Okabe and his friends find themselves in an ever-present danger. As he works to mitigate the damage his invention has caused to the timeline, Okabe fights a battle to not only save his loved ones but also to preserve his degrading sanity.

[Written by MAL Rewrite]",TV,24.0,Finished Airing,2011-04-06T00:00:00+00:00,2011-09-14T00:00:00+00:00,2011.0,spring,['White Fox'],"['Drama', 'Sci-Fi', 'Suspense']","['Psychological', 'Time Travel']",[],PG-13 - Teens 13 or older,24 min per ep,Visual novel,"['Frontier Works', 'Media Factory', 'Kadokawa Shoten', 'Movic', 'AT-X', 'Kadokawa Pictures Japan', 'Nitroplus']",['Funimation'],2025-11-25T21:10:19.212453,3.2188758248682006,14.82801106488559,0.9861932938856016,1,3,1,0,1138,0,0,0,1,0,0,1,0,0,0,0,0,Good
MyAnimeList_Top,61517,Kingdom 6th Season,Kingdom: Season 6,9.06,3753,5.0,4964,24216,307,"In ancient China, during the Warring States period, a former servant named Xin rises through the ranks with a dream: to become the greatest general under the heavens. Fighting alongside King Ying Zheng of Qin—who seeks to unify China and end the chaos—Xin leads his own unit, the Fei Xin Force, onto the battlefield.

With power reclaimed from the influential Chancellor Buwei Lü, King Ying Zheng begins laying the groundwork for a new, unified legal state with the support of key allies like strategist Changping Jun and legalist Li Si.

As Qin launches a campaign to seize new territory from the state of Zhao, their advance is halted by the brilliant strategist, Li Mu. In response, Changping Jun devises a bold plan: to bypass Zhao's defenses and strike at the key city of Gyou, near Zhao's capital.

To carry out this risky maneuver, a powerful coalition army is formed—led by the tacticians Ou Sen (Wang Jian), Kan Ki (Huan Yi), and the warrior queen Yo Tan Wa (Yang Duanhe). Joining them are the next generation of Qin commanders: Xin's Fei Xin Force, Mou Ten (Meng Tian)'s Gaku Ka Unit, and Ou Hon (Wang Ben)'s Gyoku Hou Unit, each operating independently.

The fierce battle for Gyou begins, as the future of Qin's unification hangs in the balance.

(Source: MAL News)",TV,,Currently Airing,2025-10-05T00:00:00+00:00,,2025.0,fall,"['Studio Pierrot', 'Studio Signpost']",['Action'],"['Historical', 'Military']",['Seinen'],R - 17+ (violence & profanity),24 min,Manga,"['Avex Pictures', 'Shueisha', 'NHK Enterprises']",[],2025-11-25T21:10:19.212453,2.5649493574615367,10.094810144860501,0.1676727028839705,1,1,2,1,1277,1,0,0,0,0,0,0,0,0,0,0,0,Elite
MyAnimeList_Top,38524,Shingeki no Kyojin Season 3 Part 2,Attack on Titan Season 3 Part 2,9.05,1742323,6.0,21,2516720,62147,"Seeking to restore humanity's diminishing hope, the Survey Corps embark on a mission to retake Wall Maria, where the battle against the merciless ""Titans"" takes the stage once again.

Returning to the tattered Shiganshina District that was once his home, Eren Yeager and the Corps find the town oddly unoccupied by Titans. Even after the outer gate is plugged, they strangely encounter no opposition. The mission progresses smoothly until Armin Arlert, highly suspicious of the enemy's absence, discovers distressing signs of a potential scheme against them. 

Shingeki no Kyojin Season 3 Part 2 follows Eren as he vows to take back everything that was once his. Alongside him, the Survey Corps strive—through countless sacrifices—to carve a path towards victory and uncover the secrets locked away in the Yeager family's basement.

[Written by MAL Rewrite]",TV,10.0,Finished Airing,2019-04-29T00:00:00+00:00,2019-07-01T00:00:00+00:00,2019.0,spring,['Wit Studio'],"['Action', 'Drama', 'Suspense']","['Gore', 'Military', 'Survival']",['Shounen'],R - 17+ (violence & profanity),23 min per ep,Manga,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprises']",['Funimation'],2025-11-25T21:10:19.212453,2.3978952727983707,14.738467421728023,0.9794319294809012,1,3,1,1,857,1,0,0,1,0,0,0,0,0,0,0,0,Good
MyAnimeList_Top,28977,Gintama°,Gintama Season 4,9.05,267985,8.0,346,679480,17351,"Gintoki, Shinpachi, and Kagura return as the fun-loving but broke members of the Yorozuya team! Living in an alternate-reality Edo, where swords are prohibited and alien overlords have conquered Japan, they try to thrive on doing whatever work they can get their hands on. However, Shinpachi and Kagura still haven't been paid... Does Gin-chan really spend all that cash playing pachinko?

Meanwhile, when Gintoki drunkenly staggers home one night, an alien spaceship crashes nearby. A fatally injured crew member emerges from the ship and gives Gintoki a strange, clock-shaped device, warning him that it is incredibly powerful and must be safeguarded. Mistaking it for his alarm clock, Gintoki proceeds to smash the device the next morning and suddenly discovers that the world outside his apartment has come to a standstill. With Kagura and Shinpachi at his side, he sets off to get the device fixed; though, as usual, nothing is ever that simple for the Yorozuya team.

Filled with tongue-in-cheek humor and moments of heartfelt emotion, Gintama's fourth season finds Gintoki and his friends facing both their most hilarious misadventures and most dangerous crises yet.

[Written by MAL Rewrite]",TV,51.0,Finished Airing,2015-04-08T00:00:00+00:00,2016-03-30T00:00:00+00:00,2015.0,spring,['Bandai Namco Pictures'],"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",['Shounen'],PG-13 - Teens 13 or older,24 min per ep,Manga,"['TV Tokyo', 'Aniplex', 'Dentsu']","['Funimation', 'Crunchyroll']",2025-11-25T21:10:19.212453,3.9512437185814275,13.429084550445827,0.7429420505200593,1,3,1,1,1199,1,0,1,0,0,0,1,0,0,0,0,0,Premium
MyAnimeList_Top,39486,Gintama: The Final,Gintama: The Very Final,9.05,83651,7.0,1513,176732,4584,"Two years have passed following the Tendoshuu's invasion of the O-Edo Central Terminal. Since then, the Yorozuya have gone their separate ways. Foreseeing Utsuro's return, Gintoki Sakata begins surveying Earth's ley lines for traces of the other man's Altana. After an encounter with the remnants of the Tendoshuu—who continue to press on in search of immortality—Gintoki returns to Edo.

Later, the regrouped Shinsengumi and Yorozuya begin an attack on the occupied Central Terminal. With the Altana harvested by the wreckage of the Tendoshuu's ship in danger of detonating, the Yorozuya and their allies fight their enemies while the safety of Edo—and the rest of the world—hangs in the balance. Fulfilling the wishes of their teacher, Shouyou Yoshida's former students unite and relive their pasts one final time in an attempt to save their futures.

[Written by MAL Rewrite]",Movie,1.0,Finished Airing,2021-01-08T00:00:00+00:00,,,,['Bandai Namco Pictures'],"['Action', 'Comedy', 'Drama', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",['Shounen'],PG-13 - Teens 13 or older,1 hr 44 min,Manga,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Bandai', 'Warner Bros. Japan', 'Shueisha']",['Eleven Arts'],2025-11-25T21:10:19.212453,0.6931471805599453,12.08239539808645,0.3979307600477517,1,4,1,0,878,1,0,1,1,0,0,1,0,0,0,0,0,Premium
MyAnimeList_Top,11061,Hunter x Hunter (2011),Hunter x Hunter,9.03,1926521,9.0,8,3103394,225237,"Hunters devote themselves to accomplishing hazardous tasks, all from traversing the world's uncharted territories to locating rare items and monsters. Before becoming a Hunter, one must pass the Hunter Examination—a high-risk selection process in which most applicants end up handicapped or worse, deceased.

Ambitious participants who challenge the notorious exam carry their own reason. What drives 12-year-old Gon Freecss is finding Ging, his father and a Hunter himself. Believing that he will meet his father by becoming a Hunter, Gon takes the first step to walk the same path.

During the Hunter Examination, Gon befriends the medical student Leorio Paladiknight, the vindictive Kurapika, and ex-assassin Killua Zoldyck. While their motives vastly differ from each other, they band together for a common goal and begin to venture into a perilous world.

[Written by MAL Rewrite]",TV,148.0,Finished Airing,2011-10-02T00:00:00+00:00,2014-09-24T00:00:00+00:00,2011.0,fall,['Madhouse'],"['Action', 'Adventure', 'Fantasy']",[],['Shounen'],PG-13 - Teens 13 or older,23 min per ep,Manga,"['VAP', 'Nippon Television Network', 'Shueisha']",['VIZ Media'],2025-11-25T21:10:19.212453,5.003946305945459,14.94800723149405,0.9920634920634921,1,3,1,0,885,1,1,0,0,1,0,0,0,0,0,0,0,Premium
MyAnimeList_Top,60022,One Piece Fan Letter,,9.02,97428,13.0,1891,134105,2424,"Although the golden age of piracy is about to reach new heights, most people do not seek the glory of finding the elusive One Piece—a treasure signifying a new conqueror of all seas that was once embodied by the legendary King of the Pirates, Gol D. Roger. However, even if civilians generally despise pirates, they secretly cheer for at least one of them. 

One red-headed girl from Sabaody Archipelago is no exception: She reveres Nami, the ingenious female navigator of Monkey D. Luffy's Straw Hat crew. Determined to deliver a fan letter to her idol, the Sabaody child is prepared to challenge forces of authority who strive to prevent Luffy and his friends from departing for their next destination: the New World. But to succeed, Nami's fan may need to risk her life and interfere with the Marines' plans, potentially causing devastating consequences for the wider world.

[Written by MAL Rewrite]",TV Special,1.0,Finished Airing,2024-10-20T00:00:00+00:00,,,,['Toei Animation'],"['Action', 'Adventure', 'Fantasy']",[],['Shounen'],PG-13 - Teens 13 or older,24 min,Light novel,[],[],2025-11-25T21:10:19.212453,0.6931471805599453,11.806385810998151,0.3459010722933241,1,3,1,0,903,1,1,0,0,1,0,0,0,0,0,0,0,Premium
